#Cfactor 0.029882076
Recipient Pop1 Pop2 Pop3 Pop4 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13 Pop5
Pop2_33 958.605998 3320.10753 4046.09248 2396.84317 2734.19033 973.00944 3580.73858 3578.12186 3551.73967 2658.97376 1338.04872 952.202554
Pop2_34 944.902699 3300.87011 4045.75247 2406.32121 2731.93381 976.122548 3593.18982 3589.23537 3541.93328 2652.13238 1338.8861 953.054477
Pop2_35 946.365935 3312.9687 4048.38499 2399.71605 2744.29326 973.810964 3576.7405 3572.18552 3541.26744 2647.88161 1331.88278 949.978844
Pop2_36 946.523143 3314.5938 4058.65818 2392.31054 2741.48998 967.653745 3580.58502 3582.66734 3543.59543 2641.30247 1337.33369 949.522858
Pop2_37 952.606949 3313.23423 4043.35707 2404.33778 2749.30056 977.005876 3575.15128 3577.12072 3533.64804 2647.55658 1337.244 954.415852
Pop2_38 950.369873 3305.26197 4035.75159 2392.48435 2734.86382 974.771478 3587.7962 3581.48772 3547.10405 2654.56567 1343.64753 948.799726
Pop2_39 948.246937 3308.32277 4045.1291 2411.01806 2742.06904 976.41607 3571.80637 3576.07601 3538.30041 2642.74651 1336.95993 955.760805
Pop2_40 942.832306 3304.62779 4043.29293 2399.40201 2734.1261 972.635175 3588.2541 3592.73793 3547.23976 2646.22363 1329.59413 949.958458
Pop2_41 947.36578 3305.80023 4046.00516 2397.82202 2732.19789 975.544593 3576.21785 3575.76447 3552.59722 2658.62046 1336.367 950.391461
Pop2_42 943.322569 3324.56429 4047.12298 2409.72089 2739.6172 977.37415 3573.71976 3573.25117 3537.30092 2640.60434 1332.80314 952.626609
Pop2_43 946.575635 3286.65411 4044.36411 2396.83181 2739.28553 974.86928 3591.10152 3594.28609 3555.95089 2660.38317 1337.86393 951.489328
Pop2_44 948.684793 3293.46918 4039.04388 2403.40713 2743.42504 971.284364 3591.0741 3593.56943 3546.38111 2649.14914 1337.71544 954.190679
Pop2_45 948.510083 3319.14936 4061.13409 2404.64626 2754.71777 976.937221 3577.41978 3579.8806 3539.22562 2648.97991 1337.70258 954.787384
Pop2_46 949.644167 3320.78991 4056.07687 2399.03385 2746.43189 976.370503 3590.062 3592.35043 3542.74294 2650.51691 1332.48969 951.594751
Pop2_47 946.806626 3318.08754 4042.59208 2407.22794 2737.29781 975.548664 3582.74767 3575.68841 3527.83425 2642.74954 1339.02179 955.241863
Pop2_48 943.10626 3321.53756 4041.96765 2400.9508 2739.55043 975.58195 3580.12468 3572.97831 3545.04675 2649.9335 1334.62545 949.948791
Pop2_49 948.47156 3315.01707 4049.9731 2405.22141 2743.56142 982.101003 3581.18284 3584.97229 3541.79115 2650.57409 1342.70568 954.080403
Pop2_50 948.094952 3306.92971 4053.96447 2409.20065 2737.62777 979.760142 3578.83495 3582.26365 3552.64543 2647.34765 1337.54139 953.445938
Pop2_51 953.100517 3306.11935 4042.82283 2396.59632 2750.59904 982.475929 3590.41268 3588.5171 3543.74612 2654.03467 1341.20547 957.760056
Pop2_52 955.95154 3302.27472 4063.2004 2402.2197 2743.94512 966.384884 3572.75767 3565.70643 3545.7413 2653.70664 1335.54696 949.483293
Pop2_53 947.760263 3313.37529 4038.74401 2403.90225 2738.23748 975.818685 3589.9231 3590.72092 3553.51804 2657.44137 1343.05706 951.96021
Pop2_54 950.536396 3306.30305 4049.296 2399.47545 2742.13187 975.129169 3587.18958 3585.21844 3541.32674 2644.53422 1334.80334 949.556286
Pop2_55 948.810322 3313.99725 4043.7271 2406.51186 2743.7548 974.827322 3570.83619 3568.06682 3558.14672 2654.75526 1337.64056 953.677526
Pop2_56 951.039356 3308.39781 4063.47631 2408.025 2732.7202 977.153695 3581.12139 3587.12255 3544.18749 2650.1012 1328.07769 948.580847
Pop2_57 949.634911 3313.9715 4048.12939 2410.2907 2753.9928 978.749105 3574.84166 3580.19162 3549.45105 2650.27519 1344.68962 955.965267
Pop2_58 946.623913 3307.99338 4040.39549 2409.01985 2746.15027 978.366923 3581.2313 3577.05076 3535.29656 2643.50263 1343.48515 950.411581
Pop2_59 952.068198 3299.86697 4043.62406 2410.71386 2744.10854 977.021231 3592.7756 3589.4962 3545.87193 2648.81203 1333.36355 948.85913
Pop2_60 944.113763 3314.99899 4032.24584 2406.01361 2746.15188 978.680039 3575.75508 3572.86044 3541.4908 2650.98679 1336.65148 953.587793
Pop2_61 947.923896 3322.67065 4045.63403 2394.12855 2748.46809 975.274741 3576.28523 3572.32653 3553.56572 2655.24316 1335.27566 954.751049
Pop2_62 948.388915 3303.36823 4050.28316 2398.99516 2744.22172 976.517789 3581.57205 3577.34575 3543.82995 2650.58765 1332.2022 952.827938
Pop2_63 952.651614 3308.62052 4047.94273 2401.80799 2748.19742 980.089425 3573.80203 3581.87351 3546.25662 2655.81674 1340.45772 952.891071
Pop2_64 949.675222 3313.39555 4042.70883 2401.70892 2740.64296 978.978873 3583.76713 3580.678 3547.79773 2655.65792 1331.81362 953.629406
Pop2_65 953.54808 3331.27103 4062.75524 2407.13865 2748.03212 977.076939 3562.97601 3564.50302 3537.09728 2649.7708 1336.90656 955.823425
Pop2_66 951.02344 3307.82435 4041.44574 2406.13006 2740.81939 975.919145 3583.7718 3579.12071 3533.93233 2646.80339 1333.69745 953.320969
Pop2_67 952.199326 3307.96654 4057.38931 2403.41533 2746.18491 975.105018 3582.99611 3580.68212 3554.86241 2654.79023 1335.08101 952.498101
Pop2_68 951.546704 3305.30016 4045.47649 2393.89475 2737.8473 975.617157 3574.11681 3579.71608 3543.74531 2659.13258 1339.3868 952.583319
Pop2_69 948.992941 3308.68925 4043.52765 2396.90498 2735.72564 973.829028 3589.98804 3593.93362 3548.06065 2650.53945 1334.40103 949.531356
Pop2_70 948.200844 3317.04554 4044.10593 2396.63807 2737.50188 974.801722 3580.47455 3577.32362 3542.21367 2646.58464 1334.69288 950.590308
Pop2_71 948.526762 3316.63289 4029.21189 2398.54139 2736.5452 973.34674 3588.85459 3590.32198 3554.24 2657.0889 1334.78325 951.150993
Pop2_72 949.619667 3307.91748 4040.49272 2403.16801 2747.603 980.880034 3589.93735 3587.62041 3534.32602 2642.42599 1343.29879 957.909998
Pop2_73 942.829237 3306.76315 4047.5898 2404.41327 2751.34739 982.216706 3571.31045 3573.82762 3556.49383 2661.14627 1337.15269 953.554167
Pop2_74 943.347564 3305.60043 4045.84634 2405.31435 2731.41963 974.791704 3584.96821 3587.89799 3559.159 2659.85488 1335.83801 951.414972
Pop2_75 945.571012 3302.22989 4045.28089 2403.62775 2730.12059 970.706808 3587.56762 3585.22105 3553.82446 2652.62792 1342.74015 950.322658
Pop3_1 949.94758 3182.9004 4195.045 2392.65918 2725.93089 972.595481 3586.96406 3584.366 3553.94128 2656.4822 1332.20846 948.500661
Pop3_2 949.252618 3187.95079 4176.55114 2405.46106 2740.28728 977.898544 3576.9104 3574.3204 3535.43432 2641.2718 1339.79978 952.614621
Pop3_3 952.536565 3192.93433 4191.7063 2413.67747 2750.78128 977.641139 3566.64222 3567.04953 3527.81917 2641.47187 1336.49915 951.741208
Pop3_4 941.934741 3184.30364 4173.20498 2395.49289 2748.89771 979.643351 3579.77438 3580.87354 3559.36709 2662.77467 1335.39504 949.102406
Pop3_5 951.643845 3166.92842 4168.38954 2390.81232 2730.47891 972.809821 3595.17602 3599.62362 3556.70372 2658.2989 1332.21697 953.46367
Pop3_6 948.044581 3185.57131 4166.21992 2403.59482 2740.85377 971.035118 3590.01548 3582.87658 3552.96463 2655.93986 1327.42622 951.147805
Pop3_7 948.230237 3173.90878 4167.29917 2383.76926 2740.75213 975.581471 3580.23133 3578.53877 3568.46961 2662.56802 1343.38779 953.965012
Pop3_8 946.799628 3175.28473 4194.59954 2396.72901 2736.44658 970.576357 3578.75756 3579.86567 3551.28094 2649.46139 1327.55449 943.294314
Pop3_9 952.593673 3197.37555 4194.14703 2393.59718 2729.77221 973.036287 3571.29604 3573.71969 3545.35594 2649.9844 1331.27477 946.491153
Pop3_10 948.32798 3195.25477 4198.69486 2419.14418 2739.53405 978.385836 3566.43542 3568.48407 3535.25985 2642.85665 1332.09025 953.721402
Pop3_11 944.330069 3182.6366 4173.76643 2398.66961 2733.40395 976.679285 3587.3034 3586.4455 3554.17894 2650.95104 1341.1028 955.363267
Pop3_12 952.944397 3179.33061 4162.92731 2392.94891 2733.16106 970.113592 3596.13173 3593.29414 3556.88975 2656.72314 1335.87428 950.210286
Pop3_13 940.59356 3183.82552 4180.30385 2398.0254 2739.78335 975.277667 3578.44134 3567.83372 3553.81315 2655.16284 1334.88381 949.051977
Pop3_14 948.40819 3187.25927 4191.63207 2396.79913 2744.56338 970.90873 3581.89532 3575.41673 3537.32521 2647.35283 1337.61344 951.821847
Pop3_15 947.332087 3192.70338 4197.57428 2394.87881 2739.84654 976.590867 3571.92452 3574.01082 3539.57956 2640.93012 1338.80338 953.618139
Pop3_16 950.596283 3177.46199 4174.07034 2401.17525 2741.10802 976.915387 3591.38914 3583.72738 3549.14467 2656.19804 1331.52184 950.386373
Pop3_17 944.432831 3189.45678 4178.3641 2389.85447 2735.52724 975.320763 3590.4802 3583.86938 3535.55009 2641.28082 1335.25689 949.54192
Pop3_18 946.664966 3182.38216 4211.57818 2397.82826 2741.20668 975.22661 3586.68648 3576.49794 3542.80847 2651.91799 1339.64818 950.640484
Pop3_19 948.224148 3186.66209 4191.98443 2420.35339 2742.68116 976.065783 3577.01059 3570.30699 3543.28826 2642.19078 1335.02435 951.619524
Pop3_20 942.001484 3191.03947 4181.29958 2405.99857 2735.88455 976.098713 3576.38134 3581.47714 3539.48855 2646.33977 1337.09528 949.733302
Pop3_21 948.457707 3186.97297 4193.26434 2400.91316 2743.8816 978.1379 3575.35986 3578.42458 3551.67253 2653.99 1330.41561 953.032325
Pop3_22 950.083441 3186.5438 4169.28373 2398.17076 2736.39005 973.289031 3585.67527 3582.69225 3551.90065 2649.33188 1337.20062 951.182332
Pop3_23 950.793135 3188.7285 4177.75656 2407.39322 2732.69996 976.756815 3573.10419 3570.97588 3547.91413 2651.79842 1338.09553 952.963466
Pop3_24 946.356046 3168.81125 4164.61267 2391.87253 2743.76494 974.245219 3584.45552 3586.69881 3537.5119 2651.81804 1333.48127 951.239489
Pop3_25 943.749335 3184.24161 4193.76277 2400.72882 2737.92135 976.281755 3579.2064 3581.68925 3545.15546 2647.76724 1329.70866 948.389742
Pop3_26 943.235983 3176.17634 4179.00393 2397.76321 2742.15658 974.984481 3584.21029 3589.09865 3537.8184 2640.08362 1329.55609 951.413927
Pop3_27 949.083476 3185.79002 4174.51433 2403.05208 2742.93504 976.640424 3587.99046 3589.93433 3549.54678 2653.78531 1333.59426 952.218231
Pop3_28 943.581137 3189.18446 4187.81476 2398.02215 2737.85552 965.925204 3591.09681 3587.60638 3546.21692 2646.85467 1331.45073 947.730032
Pop3_29 949.670325 3181.8325 4181.60977 2399.35284 2734.70276 973.345784 3591.50275 3594.10515 3542.84457 2658.16862 1333.28129 951.750243
Pop3_30 942.007936 3194.28271 4177.91765 2398.62968 2737.09132 974.924916 3592.1727 3582.96257 3551.19938 2649.11374 1336.62134 948.339279
Pop3_31 947.019728 3171.92964 4170.30748 2394.90757 2737.61528 972.021062 3587.6223 3581.53507 3557.79467 2658.41623 1335.88796 954.166222
Pop3_32 946.147148 3187.87272 4176.80009 2400.70384 2733.1016 974.782141 3581.37416 3583.93154 3541.47796 2648.62592 1335.69767 951.472073
Pop3_33 951.275748 3186.2936 4179.69849 2403.55196 2748.12026 974.151942 3580.82435 3583.19517 3545.9235 2642.65018 1338.03559 951.966448
Pop3_34 939.061264 3187.50289 4168.23607 2405.19514 2737.01727 966.68956 3590.41021 3586.1811 3542.5761 2649.28009 1337.76023 953.359947
Pop3_35 947.648821 3180.81087 4173.8363 2395.96434 2743.34738 975.993903 3570.4289 3575.85234 3554.80219 2653.62247 1333.44305 949.777982
Pop3_36 947.438346 3195.80289 4189.08749 2407.10764 2734.36167 976.120451 3582.18531 3580.81092 3544.51143 2644.9718 1335.87391 947.030792
Pop3_37 953.335935 3178.01048 4173.21652 2400.21232 2741.00758 978.061691 3572.13873 3580.25038 3546.35932 2653.25923 1340.55739 956.938722
Pop3_38 946.825375 3193.01403 4197.30974 2398.36201 2722.04541 977.676423 3570.42941 3565.10289 3558.81564 2650.84589 1331.45097 945.75502
Pop3_39 945.748754 3172.21856 4170.92417 2400.54216 2734.71156 970.140424 3591.95575 3596.67842 3571.04695 2667.86698 1328.45354 948.013889
Pop3_40 944.806603 3178.39397 4187.80133 2408.5525 2740.53958 973.485181 3578.73258 3580.85621 3556.6978 2645.50756 1331.32665 947.513616
Pop3_41 938.977455 3185.74333 4193.30013 2395.58761 2743.5399 974.913453 3578.60957 3581.1887 3549.64415 2655.73363 1333.82785 953.487764
Pop3_42 949.353579 3174.16676 4176.91294 2399.9465 2736.72371 974.456531 3583.31434 3584.80145 3545.20982 2648.64333 1336.68015 949.233646
Pop3_43 948.757784 3202.04522 4195.60133 2409.6366 2736.63714 978.387051 3575.06361 3582.16911 3542.88994 2641.83935 1337.31844 950.283754
Pop3_44 948.388517 3182.03346 4179.80807 2398.22841 2738.90557 977.420339 3570.41689 3566.80058 3564.2024 2656.16407 1333.97378 949.937913
Pop3_45 947.500599 3189.03147 4182.72322 2402.04553 2740.76489 979.350416 3571.9515 3570.39838 3536.11198 2647.41057 1338.94978 952.776986
Pop3_46 941.305969 3184.11377 4194.11591 2395.68839 2730.58095 972.056763 3589.10253 3583.47823 3542.84702 2656.93116 1328.02734 945.052454
Pop3_47 951.77157 3171.90594 4180.06963 2399.96467 2731.68819 974.402652 3575.73509 3579.6345 3544.78153 2646.7318 1334.72499 950.213401
Pop3_48 952.831054 3185.73875 4200.37898 2390.78236 2734.23199 972.103193 3578.34026 3577.4085 3551.53123 2654.20629 1335.81002 953.750434
Pop3_49 947.594281 3184.00447 4197.90286 2386.14995 2730.12754 973.119022 3578.62423 3583.22467 3549.7564 2651.59067 1322.71401 945.000978
Pop3_50 937.231625 3195.59632 4198.91033 2398.13638 2732.18635 976.444796 3582.74947 3584.71858 3546.59453 2653.24829 1331.24859 949.488907
Pop3_51 941.787469 3180.39574 4205.42137 2401.76775 2728.95662 972.132426 3580.1401 3583.41271 3537.18093 2645.35699 1338.30569 946.684764
Pop3_52 942.587095 3174.42668 4170.48838 2397.24417 2737.24505 973.126784 3583.81434 3590.41052 3556.01372 2658.88824 1338.6291 953.691192
Pop3_53 939.343756 3178.23214 4180.01785 2396.27727 2734.62731 972.351196 3578.4328 3581.1079 3558.04553 2659.6342 1331.56185 948.067499
Pop3_54 949.961793 3188.39463 4174.70693 2397.02108 2740.71016 974.52168 3589.25144 3585.55966 3564.53622 2657.77711 1330.86396 952.407544
Pop3_55 952.510708 3194.99149 4180.91626 2404.18716 2734.04925 971.20381 3586.52355 3585.53298 3548.69282 2647.51074 1328.33852 950.08276
Pop3_56 940.771154 3191.92436 4189.48795 2385.06996 2738.63916 975.240566 3589.68188 3588.16153 3541.62191 2642.07919 1327.56525 945.655056
Pop3_57 949.497201 3186.79704 4191.29503 2392.37972 2741.58999 975.711487 3586.21717 3582.38192 3532.20337 2642.31978 1336.2383 951.786676
Pop3_58 948.457745 3186.37285 4192.96349 2404.80778 2749.38191 970.797139 3581.86633 3577.51875 3560.69621 2656.61477 1337.76481 954.02414
Pop3_59 946.698789 3180.7522 4182.53284 2399.74403 2743.34686 977.816493 3590.76692 3587.19715 3533.94495 2645.75348 1335.73803 952.783251
Pop3_60 949.357745 3207.82717 4200.88512 2408.61052 2733.98047 974.634735 3570.29843 3571.39577 3538.21545 2641.10002 1336.08253 950.80466
Pop3_61 954.569169 3190.68687 4176.19682 2396.84341 2740.60269 970.389534 3585.0222 3578.49605 3545.92995 2650.40968 1332.53287 950.32534
Pop3_62 946.504822 3173.39167 4174.97339 2387.6766 2727.58054 974.372995 3588.97028 3587.72072 3543.49404 2652.99451 1337.96112 947.679507
Pop3_63 945.00068 3187.69876 4176.50206 2395.66514 2742.53474 977.496308 3584.08093 3579.54282 3551.16645 2648.80553 1336.00673 948.452521
Pop3_64 939.36091 3184.13967 4185.72887 2407.07624 2735.88169 976.216788 3568.80177 3573.88011 3556.20012 2653.97125 1333.55133 951.746325
Pop3_65 950.018742 3183.69737 4182.08723 2388.5061 2740.30603 976.493834 3586.59522 3578.21219 3556.7864 2658.16344 1334.30055 950.466153
Pop3_66 944.339085 3177.97827 4178.46892 2388.51272 2739.98938 976.644499 3581.33082 3578.63733 3559.02697 2651.12811 1337.09472 950.271456
Pop3_67 945.636853 3186.22622 4183.6969 2400.01561 2745.3692 979.294518 3589.65517 3588.99123 3524.9981 2636.96785 1331.89112 951.03173
Pop3_68 949.103266 3184.50567 4190.80253 2398.29639 2740.43841 974.259199 3577.49635 3578.71636 3544.62315 2648.89996 1345.36489 950.568163
Pop3_69 957.056197 3198.11346 4173.90676 2398.52907 2737.48182 977.601994 3590.10312 3594.04575 3534.63371 2640.78187 1330.08003 949.935511
Pop3_70 946.605214 3184.28955 4188.65359 2401.28618 2744.82698 971.248512 3573.99031 3572.12259 3552.32342 2652.91804 1341.46114 952.242396
Pop3_71 950.020049 3189.65877 4180.72175 2386.58413 2742.90879 974.078815 3584.3029 3580.50828 3539.04625 2645.67915 1337.3919 949.6564
Pop3_72 943.287066 3177.01841 4156.71831 2393.13434 2733.96036 969.1558 3595.67821 3585.20205 3561.13202 2659.068 1326.98834 946.949167
Pop3_73 940.062465 3170.24174 4173.12685 2404.34855 2733.61422 970.926471 3597.554 3595.83605 3561.26294 2662.79179 1333.07204 946.318482
Pop3_74 955.920832 3180.49803 4179.42137 2394.79214 2743.70143 978.434712 3575.33601 3570.37327 3540.69984 2651.19957 1341.51965 953.633993
Pop3_75 951.219383 3183.94112 4171.36532 2391.27691 2740.397 977.030444 3585.63227 3579.93239 3544.12908 2648.33343 1334.60163 953.331687
Pop3_76 943.375203 3191.20125 4194.25586 2401.19665 2743.21573 973.558155 3580.55111 3578.29557 3540.72955 2641.50952 1333.62136 948.804419
Pop3_77 946.327386 3184.12314 4174.26589 2389.79421 2731.36117 971.078057 3593.63041 3591.57111 3546.26337 2655.61064 1334.46724 950.32248
Pop3_78 946.782688 3198.02285 4186.21432 2402.32763 2743.19676 971.573641 3577.02111 3577.66787 3550.60946 2649.01438 1333.64053 952.20123
Pop3_79 945.650524 3189.39715 4214.18514 2399.19845 2729.22827 971.859534 3573.49421 3579.72482 3546.3827 2651.96092 1330.41404 946.704868
Pop3_80 952.900521 3185.59697 4188.89336 2407.37521 2735.70848 976.066829 3588.23882 3583.40571 3543.40484 2645.23632 1338.16439 953.3436
Pop3_81 948.647513 3191.78874 4199.64961 2395.42998 2734.1438 975.274946 3572.92264 3565.27047 3543.05455 2645.6383 1332.38761 952.381261
